No,콜서버명,공식 업무명,용도,설치장소,RACK-no,플랫폼,OS명,시리얼 번호,시스템분류,시스템 제조사,시스템 모델,공급사1,공급사2,비고1,비고2
1,,NAS,DR,마북4F,A-02,,,0907AMF013,스토리지_NAS,ORACLE,SS7210,,,,
2,,모바일 영업 지원,개발,마북4F,A-02,NA,,AK0033396,통합서버,ORACLE,T4-1,,,,
3,,"OS 원격 설치 (RIS, NIM)",DR,마북4F,A-02,UNIX,SOLARIS,0546NNN19J,일반서버,ORACLE,T2000,,,,
4,,백업 SAN,DR,마북4F,A-04,NA,,107156N,SAN스위치,IBM,2498-B40,,,,
5,,백업 SAN,DR,마북4F,A-04,NA,,107156M,SAN스위치,IBM,2498-B40,,,,
6,,SSLVPN,DR,마북4F,A-04,LINUX,REDHAT,CN7803A48G,일반서버,HP,DL360 G5,,,,
7,,DB 암호화,보안,마북4F,A-04,LINUX,REDHAT,06CTAPP,일반서버,IBM,X3550 M4,,,,
8,,부하테스트,개발,마북4F,A-04,NT,WINDOWS,JVT098CHAA001W,PC,SAMSUNG,DB400S6B,,,,
9,,부하테스트,개발,마북4F,A-04,NT,WINDOWS,JVT098CHAA002T,PC,SAMSUNG,DB400S6B,,,,
10,,부하테스트,개발,마북4F,A-04,NT,WINDOWS,JVT098CHAA005C,PC,SAMSUNG,DB400S6B,,,,
11,,부하테스트,개발,마북4F,A-04,NT,WINDOWS,JVT098CHAA005D,PC,SAMSUNG,DB400S6B,,,,
12,,DNS,개발,마북4F,A-04,UNIX,SOLARIS(x86),1809XC302T,일반서버,ORACLE,X7-2,,,,
13,,DNS,개발,마북4F,A-04,UNIX,SOLARIS(x86),1809XC302W,일반서버,ORACLE,X7-2,,,,
14,,DNS,운영,마북4F,A-04,UNIX,SOLARIS(x86),1809XC3029,일반서버,ORACLE,X7-2,,,,
15,,주식매입자금대출,개발,마북4F,A-05,NT,WINDOWS,SGH123XCAM,일반서버,HP,DL360 G7,,,,
16,,형상관리시스템,개발,마북4F,A-05,NT,WINDOWS,SGH832XT89,일반서버,HP,DL380 G5,,,,
17,,일본지사 전산 시스템,개발,마북4F,A-05,Embedded,ESXi,SGH608Y053,통합서버,HP,DL380 G9,,,,
18,,보안 DR 시스템,보안,마북4F,A-05,LINUX,CentOS,SGH837WR4J,일반서버,HP,DL380 G10,,,,
19,,보안 DR 시스템,보안,마북4F,A-05,LINUX,CentOS,SGH837WR4P,일반서버,HP,DL380 G10,,,,
20,,보안 DR 시스템,보안,마북4F,A-05,NT,WINDOWS,J300D37E,일반서버,Lenovo,SR550 7X04-CTO1WW,,,,
21,,보안 DR 시스템,보안,마북4F,A-05,LINUX,CentOS,06LFDR3,일반서버,IBM,X3550 M4,,,,
22,,보안 DR 시스템,보안,마북4F,A-05,NT,WINDOWS,SGH838X8HZ,일반서버,HP,DL360 G10,,,,
23,,보안 DR 시스템,보안,마북4F,A-05,LINUX,CentOS,06KKWG2,일반서버,IBM,X3250 M4,,,,
24,,010발신번호시스템,개발,마북4F,A-05,NT,WINDOWS,SGH715YD0J,일반서버,HP,DL380 G9,,,,
